day,period,line,demand_total,hours_in_period,demand_per_hour,cars_per_train,seats_per_train,freq_trains_per_hr,headway_min,wait_time_min,seats_per_hour,empty_seats_per_hour,utilization_percent
Saturday,AM,NWK−WTC,4226.0,4.0,1056.5,8,880,3.3333333333333335,18.0,9.0,2933.3333333333335,1876.8333333333335,36.01704545454545
Saturday,AM,JSQ−33st,4226.0,4.0,1056.5,6,660,3.0,20.0,10.0,1980.0,923.5,53.35858585858586
Saturday,AM,HOB−33st,4226.0,4.0,1056.5,8,880,3.3333333333333335,18.0,9.0,2933.3333333333335,1876.8333333333335,36.01704545454545
Saturday,Midday,NWK−WTC,14604.666666666668,6.0,2434.1111111111113,8,880,4.0,15.0,7.5,3520.0,1085.8888888888887,69.15088383838385
Saturday,Midday,JSQ−33st,14604.666666666668,6.0,2434.1111111111113,6,660,5.0,12.0,6.0,3300.0,865.8888888888887,73.76094276094277
Saturday,Midday,HOB−33st,14604.666666666668,6.0,2434.1111111111113,8,880,4.166666666666667,14.399999999999999,7.199999999999999,3666.666666666667,1232.5555555555557,66.38484848484848
Saturday,PM,NWK−WTC,11996.666666666664,4.0,2999.166666666666,8,880,4.666666666666667,12.857142857142856,6.428571428571428,4106.666666666667,1107.500000000001,73.03165584415584
Saturday,PM,JSQ−33st,11996.666666666664,4.0,2999.166666666666,6,660,6.0,10.0,5.0,3960.0,960.8333333333339,75.73653198653197
Saturday,PM,HOB−33st,11996.666666666664,4.0,2999.166666666666,8,880,5.0,12.0,6.0,4400.0,1400.833333333334,68.16287878787878
Saturday,Evening,NWK−WTC,12535.0,10.0,1253.5,8,880,3.3333333333333335,18.0,9.0,2933.3333333333335,1679.8333333333335,42.73295454545455
Saturday,Evening,JSQ−33st,12535.0,10.0,1253.5,6,660,3.0,20.0,10.0,1980.0,726.5,63.30808080808082
Saturday,Evening,HOB−33st,12535.0,10.0,1253.5,8,880,3.3333333333333335,18.0,9.0,2933.3333333333335,1679.8333333333335,42.73295454545455
Sunday,AM,NWK−WTC,2986.9999999999986,4.0,746.7499999999997,8,880,3.3333333333333335,18.0,9.0,2933.3333333333335,2186.583333333334,25.457386363636353
Sunday,AM,JSQ−33st,2986.9999999999986,4.0,746.7499999999997,6,660,3.0,20.0,10.0,1980.0,1233.2500000000005,37.71464646464644
Sunday,AM,HOB−33st,2986.9999999999986,4.0,746.7499999999997,8,880,3.3333333333333335,18.0,9.0,2933.3333333333335,2186.583333333334,25.457386363636353
Sunday,Midday,NWK−WTC,11958.666666666662,6.0,1993.1111111111104,8,880,3.3333333333333335,18.0,9.0,2933.3333333333335,940.2222222222231,67.94696969696967
Sunday,Midday,JSQ−33st,11958.666666666662,6.0,1993.1111111111104,6,660,4.0,15.0,7.5,2640.0,646.8888888888896,75.49663299663297
Sunday,Midday,HOB−33st,11958.666666666662,6.0,1993.1111111111104,8,880,3.3333333333333335,18.0,9.0,2933.3333333333335,940.2222222222231,67.94696969696967
Sunday,PM,NWK−WTC,9217.000000000002,4.0,2304.2500000000005,8,880,3.3333333333333335,18.0,9.0,2933.3333333333335,629.083333333333,78.55397727272728
Sunday,PM,JSQ−33st,9217.000000000002,4.0,2304.2500000000005,6,660,4.5,13.333333333333334,6.666666666666667,2970.0,665.7499999999995,77.5841750841751
Sunday,PM,HOB−33st,9217.000000000002,4.0,2304.2500000000005,8,880,3.3333333333333335,18.0,9.0,2933.3333333333335,629.083333333333,78.55397727272728
Sunday,Evening,NWK−WTC,9490.66666666667,10.0,949.066666666667,8,880,3.3333333333333335,18.0,9.0,2933.3333333333335,1984.2666666666664,32.354545454545466
Sunday,Evening,JSQ−33st,9490.66666666667,10.0,949.066666666667,6,660,3.0,20.0,10.0,1980.0,1030.933333333333,47.93265993265995
Sunday,Evening,HOB−33st,9490.66666666667,10.0,949.066666666667,8,880,3.3333333333333335,18.0,9.0,2933.3333333333335,1984.2666666666664,32.354545454545466
