day,period,line,N,cars_per_train,freq_tr_per_hr
Saturday,AM,NWK−WTC,5,4,3.3333333333333335
Saturday,AM,JSQ−33st,7,4,3.5
Saturday,AM,HOB−WTC,4,4,3.3333333333333335
Saturday,Midday,NWK−WTC,11,4,7.333333333333333
Saturday,Midday,JSQ−33st,14,4,7.0
Saturday,Midday,HOB−WTC,9,4,7.5
Saturday,PM,NWK−WTC,13,4,8.666666666666666
Saturday,PM,JSQ−33st,18,4,9.0
Saturday,PM,HOB−WTC,11,4,9.166666666666666
Saturday,Evening,NWK−WTC,6,4,4.0
Saturday,Evening,JSQ−33st,8,4,4.0
Saturday,Evening,HOB−WTC,5,4,4.166666666666667
Sunday,AM,NWK−WTC,5,4,3.3333333333333335
Sunday,AM,JSQ−33st,6,4,3.0
Sunday,AM,HOB−WTC,4,4,3.3333333333333335
Sunday,Midday,NWK−WTC,9,4,6.0
Sunday,Midday,JSQ−33st,12,4,6.0
Sunday,Midday,HOB−WTC,7,4,5.833333333333333
Sunday,PM,NWK−WTC,10,4,6.666666666666667
Sunday,PM,JSQ−33st,14,4,7.0
Sunday,PM,HOB−WTC,8,4,6.666666666666667
Sunday,Evening,NWK−WTC,5,4,3.3333333333333335
Sunday,Evening,JSQ−33st,6,4,3.0
Sunday,Evening,HOB−WTC,4,4,3.3333333333333335
