day,period,line,Bench_Freq,Opt_Freq,Freq_Diff,Bench_Wait_min,Opt_Wait_min,Wait_Saved_min,Wait_Saved_Pct
Saturday,AM,NWK−WTC,3.0,3.33,0.33,10.0,9.0,1.0,10.0
Saturday,AM,JSQ−33st,3.0,3.0,0.0,10.0,10.0,0.0,0.0
Saturday,AM,HOB−33st,3.0,3.33,0.33,10.0,9.0,1.0,10.0
Saturday,Midday,NWK−WTC,3.0,4.0,1.0,10.0,7.5,2.5,25.0
Saturday,Midday,JSQ−33st,3.0,5.0,2.0,10.0,6.0,4.0,40.0
Saturday,Midday,HOB−33st,3.0,4.17,1.17,10.0,7.2,2.8,28.0
Saturday,PM,NWK−WTC,3.0,4.67,1.67,10.0,6.43,3.57,35.71
Saturday,PM,JSQ−33st,3.0,6.0,3.0,10.0,5.0,5.0,50.0
Saturday,PM,HOB−33st,3.0,5.0,2.0,10.0,6.0,4.0,40.0
Saturday,Evening,NWK−WTC,3.0,3.33,0.33,10.0,9.0,1.0,10.0
Saturday,Evening,JSQ−33st,3.0,3.0,0.0,10.0,10.0,0.0,0.0
Saturday,Evening,HOB−33st,3.0,3.33,0.33,10.0,9.0,1.0,10.0
Sunday,AM,NWK−WTC,3.0,3.33,0.33,10.0,9.0,1.0,10.0
Sunday,AM,JSQ−33st,3.0,3.0,0.0,10.0,10.0,0.0,0.0
Sunday,AM,HOB−33st,3.0,3.33,0.33,10.0,9.0,1.0,10.0
Sunday,Midday,NWK−WTC,3.0,3.33,0.33,10.0,9.0,1.0,10.0
Sunday,Midday,JSQ−33st,3.0,4.0,1.0,10.0,7.5,2.5,25.0
Sunday,Midday,HOB−33st,3.0,3.33,0.33,10.0,9.0,1.0,10.0
Sunday,PM,NWK−WTC,3.0,3.33,0.33,10.0,9.0,1.0,10.0
Sunday,PM,JSQ−33st,3.0,4.5,1.5,10.0,6.67,3.33,33.33
Sunday,PM,HOB−33st,3.0,3.33,0.33,10.0,9.0,1.0,10.0
Sunday,Evening,NWK−WTC,3.0,3.33,0.33,10.0,9.0,1.0,10.0
Sunday,Evening,JSQ−33st,3.0,3.0,0.0,10.0,10.0,0.0,0.0
Sunday,Evening,HOB−33st,3.0,3.33,0.33,10.0,9.0,1.0,10.0
